latin,category,ideallight,toleratedlight,watering,use,tempmax.celsius,tempmin.celsius,toxicity_animals,toxicity_humans,tempmin_pasmo,tempmax_pasmo,is_cold_tolerant,is_heat_tolerant,category_group
Neoregelia carolinae var.,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Colors / Forms,30,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Roślina kwitnąca
Radermachera sinica,Other,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Table top; Tertiary,28,8,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Inne
Pteris cretica Parkeri,Fern,Bright light,/,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,28,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona
Polystichum tsus simense,Fern,Bright light,/,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,28,-5,nietoksyczna,nietoksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0,Paproć / roślina zielona
Polystichum polyblepharum,Fern,Bright light,/,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,28,-5,nietoksyczna,nietoksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0,Paproć / roślina zielona
Ravenea rivularis,Palm,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,30,8,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne
Polyscias scutellaria,Aralia,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,30,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne
Pteris cretica Albo lineata,Fern,Bright light,/,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,28,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona
Platycerium bifurcatum,Fern,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Tertiary,30,5,nietoksyczna,nietoksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0,Paproć / roślina zielona
Philodendron Xanadu,Philodendron,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,28,18,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona
Polyscias pinnatta,Aralia,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,30,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne
Philodendron Tatei Congo,Philodendron,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Secondary,28,18,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona
Sansevieria trifasciata Laurentii,Sansevieria,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Potted plant; Tertiary,35,10,"toksyczna (nudności, wymioty)","lekko toksyczna (gorzkawy smak, biegunka)",Toleruje chłód,Odporna na upał,0,1,Paproć / roślina zielona
Philodendron pinnatifidum,Philodendron,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Tertiary,28,18,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona
Podocarpus gracilior,Foliage plant,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,30,10,"toksyczna (senność, wymioty)","toksyczna (bóle brzucha, wymioty)",Toleruje chłód,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona
Sansevieria trifasciata Hahnii,Sansevieria,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Table top; Tertiary,35,10,toksyczna,lekko toksyczna,Toleruje chłód,Odporna na upał,0,1,Paproć / roślina zielona
Sansevieria trifasciata,Sansevieria,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Potted plant; Primary,35,10,toksyczna,lekko toksyczna,Toleruje chłód,Odporna na upał,0,1,Paproć / roślina zielona
Polyscias crispata,Aralia,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,30,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne
Phoenix roebellinii,Palm,6 or more hours of direct sunlight per day.,/,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,28,8,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne
Polyscias pinnata Marginata,Aralia,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,30,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne
Polyscias fruticosa Elegans,Aralia,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,30,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne
Philodendron selloum,Philodendron,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,28,18,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona
Pteris ensiformis Evergemiensis,Fern,Bright light,/,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,28,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona
Rhapis excelsa,Palm,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,30,8,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne
Polyscias fruticosa,Aralia,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,30,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne
Philodendron scandens oxycardium,Philodendron,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,28,18,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona
Veitchia merrillii,Palm,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,30,15,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne
Spathiphyllum Lynise,Spathiphyllum,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,28,15,toksyczna (szczawiany wapnia),toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca
Spathiphyllum Ceres,Spathiphyllum,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,28,15,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca
Vriesea splendens,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Tertiary,28,15,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca
Trichilia dregei,Other,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,28,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Inne
Vriesea Ginger,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Tertiary,28,15,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca
Vriesea Charlotte,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Tertiary,28,15,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca
Syngonium podophyllum,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Tertiary,28,12,"toksyczna (szczawiany wapnia – ślinotok, wymioty)","toksyczna (pieczenie ust, gardła)",Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Wisząca
Syagrus schizophylla,Palm,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,30,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne
Tillandsia cyanea,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Tertiary,30,15,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca
Vriesea Christiane,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Tertiary,28,15,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca
Tillandsia Creation,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Tertiary,30,15,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca
Xanthosoma lindenii,Foliage plant,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,28,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona
Schefflera elegantissima,Aralia,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Can dry between watering,Potted plant; Secondary,28,12,"toksyczna (szczawiany, gorzki sok)",toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne
Spathiphyllum Sensation,Spathiphyllum,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,28,15,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca
Spathiphyllum Starlight,Spathiphyllum,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,28,15,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca
Sedum morganianum,Hanging,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Hanging; Tertiary,35,8,nietoksyczna,nietoksyczna,Toleruje chłód,Odporna na upał,0,1,Wisząca
Spathiphyllum Domino,Spathiphyllum,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,28,15,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca
Scindapsus pictus argyraeus,Hanging,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Hanging; Tertiary,30,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Wisząca
Xanthorrhoea arborea,Other,6 or more hours of direct sunlight per day.,/,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary,35,12,nietoksyczna (dane ograniczone),nietoksyczna,Tylko temperatura pokojowa,Odporna na upał,0,1,Inne
Schefflera arboricola Trinette,Schefflera,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Table top; Secondary,30,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne
Schefflera actinophylla Amate,Schefflera,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,28,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne
Schefflera actinophylla Renegade,Schefflera,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,28,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne
Sansevieria trifasciata var,Sansevieria,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Potted plant; Secondary,35,10,toksyczna,lekko toksyczna,Toleruje chłód,Odporna na upał,0,1,Paproć / roślina zielona
Spathiphyllum Supreme,Spathiphyllum,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,28,15,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca
Schefflera arboricola,Schefflera,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,30,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne
Spathiphyllum,Spathiphyllum,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,28,15,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca
Strelitzia nicolai,Foliage plant,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Table top; Tertiary,30,12,toksyczna (łagodne zatrucia),lekko toksyczna (niestrawność),Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona
Zamioculcas zamifolia,Foliage plant,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Secondary,30,12,"toksyczna (kontakt i spożycie – wymioty, biegunka)","toksyczna (szczawiany wapnia – podrażnienia skóry, jamy ustnej)",Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona
Yucca elephantipes,Dracaena,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,30,12,"toksyczna (saponiny – wymioty, biegunka)","lekko toksyczna (bóle brzucha, nudności)",Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona
