id,latin,family,common,category,origin,climate,ideallight,toleratedlight,watering,insects,diseases,use,tempmax.celsius,tempmax.fahrenheit,tempmin.celsius,tempmin.fahrenheit,latin_norm,toxicity_animals,toxicity_humans
79,Cyrtomium falcatum,Dryopteridaceae,Holly-fern,Fern,Asia,Subtropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Scale; Mealy bug,,Potted plant; Ground cover,30,20.0,5,41.0,Cyrtomium falcatum,nietoksyczna,nietoksyczna
80,Dracaena deremensis,Liliaceae,Dwarf bouquet; Calypso Queen; Janet Craig Compacta,Dracaena,Africa,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug; Scale,,Potted plant; Secondary,30,20.0,10,50.0,Dracaena deremensis,toksyczna,nietoksyczna
81,Davallia trichomannoides,Davalliaceae,Rabbits foot; Squirrels foot,Fern,Canaries,Tropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Mealy bug; Scale,,Hanging; Potted plant,25,77.0,10,50.0,Davallia trichomannoides,nietoksyczna,nietoksyczna
82,Dracaena deremensis,Liliaceae,Lisa Dracaena; Lisa,Dracaena,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug; Scale,,Potted plant; Primary,30,20.0,10,50.0,Dracaena deremensis,toksyczna,nietoksyczna
83,Dracaena marginata,Liliaceae,Madagascar dragon tree,Dracaena,Madagascar,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug; Scale; Spider mite,,Potted plant; Secondary,30,20.0,10,50.0,Dracaena marginata,"toksyczna (wymioty, ślinotok, osłabienie)",nietoksyczna (u ludzi objawy bardzo rzadkie)
84,Dracaena deremensis,Liliaceae,Striped Dracaena; Warneckei,Dracaena,Africa,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug; Scale,,Potted plant; Secondary,30,20.0,10,50.0,Dracaena deremensis,toksyczna,nietoksyczna
85,Dracaena deremensis,Liliaceae,Striped Dracaena; Lemon Lime,Dracaena,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Mealy bug; Scale,,Table top; Tertiary,30,20.0,10,50.0,Dracaena deremensis,toksyczna,nietoksyczna
86,Dieffenbachia maculata,Araceae,Dumcane; Camille,Dieffenbachia,Hybrid,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Spider mite; Mealy bug,Fusarium; Erwinia,Table top; Potted plant,28,82.4,12,53.6,Dieffenbachia maculata,bardzo toksyczna,bardzo toksyczna
87,Dieffenbachia amoena,Araceae,Dumcane; Tropic Snow,Dieffenbachia,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Can dry between watering,Spider mite; Mealy bug,Fusarium; Erwinia,Potted plant; Secondary,28,82.4,12,53.6,Dieffenbachia amoena,bardzo toksyczna,bardzo toksyczna
88,Ficus elastica,Moraceae,Rubber plant; Tineke,Ficus,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Can dry between watering,Mealy bug; Scale,,Table top; Tertiary,30,20.0,10,50.0,Ficus elastica,"toksyczna (podrażnienia żołądkowe, wymioty)","może powodować podrażnienia skóry, żołądka"
89,Dypsis lutescens,Arecaceae,Areca palm; Butterfly palm,Palm,Madagascar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug; Scale,,Potted plant; Secondary,28,82.4,10,50.0,Dypsis lutescens,nietoksyczna,nietoksyczna
90,Epiphyllum,Cactaceae,Orchid cactus,Cactus And Succulent,Hybrid,Tropical,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Mealy bug,,Hanging; Secondary,32,89.6,5,41.0,Epiphyllum,nietoksyczna,nietoksyczna
91,Echinocactus grusonii,Cactaceae,Golden Barrel,Cactus And Succulent,Central Mexico,Arid Tropical,6 or more hours of direct sunlight per day.,/,Water only when dry. Must be dry between watering,Mealy bug; Scale; Spider mite,,Potted plant; Primary,40,104.0,5,41.0,Echinocactus grusonii,nietoksyczna (ale kolce stanowią zagrożenie mechaniczne),nietoksyczna (oparzenia mechaniczne)
92,Euphorbia milii,Euphorbiaceae,Christ thorn; Crown of thorns,Cactus And Succulent,Madagascar,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Mealy bug; White fly,Downy mildiou; Gray mold,Table top; Tertiary,35,95.0,12,53.6,Euphorbia milii,"toksyczna (sok mleczny – wymioty, biegunka, podrażnienia)",toksyczna (podrażnienia skóry i oczu)
93,Epipremnum aureum,Araceae,White Pothos; Marble Queen,Hanging,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Pythium,Hanging; Tertiary,30,20.0,12,53.6,Epipremnum aureum,"toksyczna (szczawiany wapnia – wymioty, ślinotok)","toksyczna (pieczenie jamy ustnej, podrażnienia gardła)"
94,Guzmania,Bromeliaceae,Guzmania; Guzmania Sunnytime,Bromeliad,Cultivar,Tropical,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,,,Table top; Tertiary,30,20.0,10,50.0,Guzmania,nietoksyczna,nietoksyczna
95,Ficus maclellandii,Moraceae,Willow fig tree; Amstel King,Ficus,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug; Scale,,Potted plant; Primary,30,20.0,10,50.0,Ficus maclellandii,toksyczna,może powodować podrażnienia
96,Guzmania,Bromeliaceae,Guzmania; Guzmania Empire,Bromeliad,Cultivar,Tropical,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,,,Table top; Tertiary,30,20.0,10,50.0,Guzmania,nietoksyczna,nietoksyczna
97,Ficus benjamina,Moraceae,Weeping fig,Ficus,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug; Scale,,Potted plant; Secondary,30,20.0,10,50.0,Ficus benjamina,"toksyczna (wymioty, biegunka, podrażnienia skóry u zwierząt)","toksyczna (podrażnienia skóry, reakcje alergiczne)"
98,Fatsia japonica,Araliaceae,Japanese Aralia,Aralia,Japan,Subtropical,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,,Table top; Potted plant,28,82.4,8,46.4,Fatsia japonica,nietoksyczna,nietoksyczna
99,Euphorbia ammack,Euphorbiaceae,Variegated Euphorbia,Cactus And Succulent,Africa,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Must be dry between watering. Water only when dry.,Mealy bug; White fly,Downy mildiou,Potted plant; Primary,35,95.0,12,53.6,Euphorbia ammack,"toksyczna (sok mleczny drażniący, wymioty)",toksyczna (silne podrażnienia skóry i oczu)
100,Ficus pumila,Moraceae,Creeping fig; Curl,Ficus,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug; Scale,,Hanging; Ground cover,30,20.0,10,50.0,Ficus pumila,toksyczna,może powodować podrażnienia skóry
101,Guzmania,Bromeliaceae,Guzmania; Claret,Bromeliad,Cultivar,Tropical,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,,,Table top; Tertiary,30,20.0,10,50.0,Guzmania,nietoksyczna,nietoksyczna
102,Ficus elastica,Moraceae,Rubber plant; Robusta,Ficus,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Can dry between watering,Mealy bug; Scale,,Potted plant; Secondary,30,20.0,10,50.0,Ficus elastica,"toksyczna (podrażnienia żołądkowe, wymioty)","może powodować podrażnienia skóry, żołądka"
103,Hedera canariensis,Araliaceae,Algerian ivy; Montgomery ivy,Hanging,Canaries,Subtropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,,Hanging; Ground cover,30,20.0,5,41.0,Hedera canariensis,"toksyczna (wymioty, biegunka)","toksyczna (podrażnienia skóry, nudności)"
104,Epipremnum aureum,Araceae,Golden Pothos,Hanging,South Pacific,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Pythium,Hanging; Tertiary,30,20.0,12,53.6,Epipremnum aureum,"toksyczna (szczawiany wapnia – wymioty, ślinotok)","toksyczna (pieczenie jamy ustnej, podrażnienia gardła)"
105,Ficus lyrata,Moraceae,Fidleleaf fig,Ficus,Ouest Africa,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug; Scale,,Potted plant; Secondary,30,20.0,10,50.0,Ficus lyrata,"toksyczna (wymioty, ślinotok)","toksyczna (podrażnienia skóry, błon śluzowych)"
106,Euphorbia ingens,Euphorbiaceae,Giant Candelabra tree,Cactus And Succulent,South Africa,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Mealy bug,Downy mildiou,Potted plant; Primary,35,95.0,12,53.6,Euphorbia ingens,"toksyczna (silne zatrucia, sok mleczny)","toksyczna (uszkodzenia skóry, oczu)"
107,Ficus benjamina,Moraceae,Weeping fig; Monique,Ficus,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug; Scale,,Potted plant; Secondary,30,20.0,10,50.0,Ficus benjamina,"toksyczna (wymioty, biegunka, podrażnienia skóry u zwierząt)","toksyczna (podrażnienia skóry, reakcje alergiczne)"
108,Guzmania,Bromeliaceae,Guzmania; Mariposa,Bromeliad,Cultivar,Tropical,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,,,Table top; Tertiary,30,20.0,10,50.0,Guzmania,nietoksyczna,nietoksyczna
109,Ficus maclellandii Alii,Moraceae,Willow Ficus,Ficus,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug; Scale,,Potted plant; Primary,30,20.0,10,50.0,Ficus maclellandii Alii,toksyczna,może powodować podrażnienia
110,Guzmania,Bromeliaceae,Guzmania; Marjan,Bromeliad,Cultivar,Tropical,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,,,Table top; Tertiary,30,20.0,10,50.0,Guzmania,nietoksyczna,nietoksyczna
111,Ficus benjamina,Moraceae,Weeping fig; Midnight,Ficus,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug; Scale,,Potted plant; Secondary,30,20.0,10,50.0,Ficus benjamina,"toksyczna (wymioty, biegunka, podrażnienia skóry u zwierząt)","toksyczna (podrażnienia skóry, reakcje alergiczne)"
112,Guzmania,Bromeliaceae,Guzmania; Rana,Bromeliad,Cultivar,Tropical,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,,,Table top; Tertiary,30,20.0,10,50.0,Guzmania,nietoksyczna,nietoksyczna
113,Ficus elastica,Moraceae,Rubber plant; Burgandy,Ficus,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Can dry between watering,Mealy bug; Scale,,Potted plant; Secondary,30,20.0,10,50.0,Ficus elastica,"toksyczna (podrażnienia żołądkowe, wymioty)","może powodować podrażnienia skóry, żołądka"
114,Euphorbia drupifera,Euphorbiaceae,,Cactus And Succulent,Guinea,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Mealy bug,Downy mildiou,Potted plant; Primary,35,95.0,12,53.6,Euphorbia drupifera,toksyczna,toksyczna
115,Hedera helix,Araliaceae,English ivy; Gold Baby,Hanging,Cultivar,Subtropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,,Hanging; Ground cover,30,20.0,5,41.0,Hedera helix,"toksyczna (ślinotok, biegunka, apatia)","toksyczna (nudności, bóle brzucha, kontaktowe podrażnienia)"
116,Maranta leuconeura erythroneura,Marantaceae,Herringbone; Pink praying plant,Hanging,Brazil,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,,Hanging; Table top,28,82.4,12,53.6,Maranta leuconeura erythroneura,nietoksyczna,nietoksyczna
117,Hedera helix,Araliaceae,English ivy; Hermania,Hanging,Cultivar,Subtropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,,Hanging; Ground cover,30,20.0,5,41.0,Hedera helix,"toksyczna (ślinotok, biegunka, apatia)","toksyczna (nudności, bóle brzucha, kontaktowe podrażnienia)"
118,Monstera deliciosa,Araceae,Splitleaf Philodendron; Mexican Breadfruit,Philodendron,Central America,Tropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Mealy bug,,Potted plant; Secondary,32,89.6,12,53.6,Monstera deliciosa,"toksyczna (szczawiany wapnia – obrzęk pyska, ślinotok)","toksyczna (pieczenie ust, gardła)"
119,Mandevilla X,Apocynaceae,,Flower,Hybrid,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug; Aphid,,Flower; Potted plant,30,20.0,10,50.0,Mandevilla X,"toksyczna (biegunka, wymioty)","toksyczna (podrażnienia skóry, zatrucia po spożyciu)"
120,Peperomia obtusifolia,Piperaceae,Baby rubber plant; Pepper face,Other,Venezuela,Tropical,Bright light,/,Keep moist between watering. Water when soil is half dry.,Mealy bug,,Table top; Ground cover; Tertiary,32,89.6,10,50.0,Peperomia obtusifolia,nietoksyczna,nietoksyczna
121,Ophiopogon japonicus,Liliaceae,Snakes beard,Grass,Japan,Subtropical,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Spider mite; Scale,,Ground cover; Tertiary,28,82.4,5,41.0,Ophiopogon japonicus,nietoksyczna,nietoksyczna
122,Hedychium coronarium,Zingiberaceae,Butterfly Ginger; White Ginger,Flower,China,Subtropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,,,Flower; Secondary,30,20.0,10,50.0,Hedychium coronarium,nietoksyczna,nietoksyczna
123,Hedera helix variegata,Araliaceae,English ivy; Variegated English ivy,Hanging,Cultivar,Subtropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,,Hanging; Ground cover,30,20.0,5,41.0,Hedera helix variegata,toksyczna,toksyczna
124,Pellaea falcata,Sinopteridaceae,,Fern,Australia & New Guinea,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Mealy bug,,Table top; Ground cover; Tertiary,25,77.0,12,53.6,Pellaea falcata,nietoksyczna,nietoksyczna
125,Hedera helix,Araliaceae,English ivy; Garland,Hanging,Cultivar,Subtropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,,Hanging; Ground cover,30,20.0,5,41.0,Hedera helix,"toksyczna (ślinotok, biegunka, apatia)","toksyczna (nudności, bóle brzucha, kontaktowe podrażnienia)"
126,Hoya carnosa Exotica,Asclepiadaceae,Wax plant,Hanging,Cultivar,Tropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Mealy bug; Thrips,,Hanging; Table top,28,82.4,12,53.6,Hoya carnosa Exotica,nietoksyczna,nietoksyczna
127,Nerium oleander,Apocynaceae,Oleander; Rose bay,Flower,Mediterranean,Subtropical,6 or more hours of direct sunlight per day.,/,Keep moist between watering. Must not be dry between watering,Scale; Aphid; Mealy bug,,Potted plant; Secondary,30,20.0,5,41.0,Nerium oleander,silnie toksyczna (może być śmiertelna – glikozydy nasercowe),"silnie toksyczna (zaburzenia rytmu serca, zatrucia, śmiertelna dawka)"
128,Pachypodium geayi,Apocynaceae,Madagascar Palm,Cactus And Succulent,Madagascar,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Mealy bug,,Potted plant; Primary,35,95.0,8,46.4,Pachypodium geayi,"toksyczna (podrażnienia, możliwe zatrucia)","toksyczna (drażniąca, sok mleczny)"
129,Licuala spinosa,Arecaceae,Spiny licuala palm,Palm,Malaysia,Tropical,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,,Potted plant; Secondary,30,20.0,15,59.0,Licuala spinosa,nietoksyczna,nietoksyczna
130,Philodendron,Araceae,Red Philodendron; Imperial Red,Philodendron,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Erwinia,Table top; Secondary,28,82.4,18,64.4,Philodendron,toksyczna (szczawiany wapnia),toksyczna
131,Neoregelia Flandria,Bromeliaceae,,Bromeliad,Cultivar,Tropical,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,,,Table top; Colors / Forms,30,20.0,12,53.6,Neoregelia Flandria,nietoksyczna,nietoksyczna
132,Liriope muscari Variegata,Liliaceae,Variegated lily turf,Foliage plant,Japan,Subtropical,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Spider mite; Scale,,Ground cover; Table top,30,20.0,8,46.4,Liriope muscari Variegata,nietoksyczna,nietoksyczna
133,Philodendron micans,Araceae,Velvet leaf vine,Philodendron,Dominica,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Erwinia,Hanging; Secondary,28,82.4,18,64.4,Philodendron micans,toksyczna,toksyczna
134,Maranta leuconeura kerchoveana,Marantaceae,Green prayer plant; Herringbone,Hanging,Brazil,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,,Hanging; Table top,28,82.4,12,53.6,Maranta leuconeura kerchoveana,nietoksyczna,nietoksyczna
135,Neoregelia Victoria Pink,Bromeliaceae,,Bromeliad,Cultivar,Tropical,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,,,Table top; Colors / Forms,30,20.0,12,53.6,Neoregelia Victoria Pink,nietoksyczna,nietoksyczna
136,Nolina recurvata,Agavaceae,Elephant foot; Pony tail,Foliage plant,Mexico,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water when soil is half dry. Can be dry between watering.,Scale; Mealy bug,,Primary; Potted plant,32,89.6,12,53.6,Nolina recurvata,toksyczna (łagodne zatrucia u kotów przy spożyciu),nietoksyczna
137,Philodendron,Araceae,Lime philodendron; Moonlight,Philodendron,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Erwinia,Table top; Secondary,28,82.4,18,64.4,Philodendron,toksyczna (szczawiany wapnia),toksyczna
138,Phalaenopsis X,Orchidaceae,,Flower,Hybrid,Tropical humid,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Thrips; Aphid,,Table top; Secondary,28,82.4,12,53.6,Phalaenopsis X,nietoksyczna,nietoksyczna
139,Hyophorbe verschaffeltii,Arecaceae,Spindle palm,Palm,Rodrigue Island,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,,Potted plant; Primary,35,95.0,10,50.0,Hyophorbe verschaffeltii,nietoksyczna,nietoksyczna
140,Hedera helix,Araliaceae,English ivy,Topiairy,Cultivar,Subtropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Spider mite; Mealy bug,,Hanging; Ground cover,30,20.0,5,41.0,Hedera helix,"toksyczna (ślinotok, biegunka, apatia)","toksyczna (nudności, bóle brzucha, kontaktowe podrażnienia)"
141,Nolina guatemalensis,Agavaceae,Elephant foot; Pony tail,Foliage plant,Mexico,Arid Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Water when soil is half dry. Can be dry between watering.,Scale; Mealy bug,,Primary; Potted plant,32,89.6,12,53.6,Nolina guatemalensis,toksyczna,nietoksyczna
142,Medinilla magnifica,Melastomataceae,Rose grape,Flower,Philippines,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Mealy bug,,Potted plant; Flower,30,20.0,15,59.0,Medinilla magnifica,nietoksyczna,nietoksyczna
143,Hibiscus rosa sinensis,Malvaceae,Chinese hibiscus,Flower,Asia,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Aphid; White fly,,Flower; Secondary,28,82.4,10,50.0,Hibiscus rosa sinensis,nietoksyczna,nietoksyczna
144,Nephrolepis exaltata var,Nephrolepidaceae,Boston fern; Sword fern,Fern,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug; Scale,,Hanging; Tertiary,28,82.4,10,50.0,Nephrolepis exaltata var,nietoksyczna,nietoksyczna
145,Howea forsteriana,Arecaceae,Kentia palm; Paradise palm,Palm,South Pacific,Tropical,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,,,Potted plant; Primary,28,82.4,12,53.6,Howea forsteriana,nietoksyczna,nietoksyczna
146,Philodendron,Araceae,Emerald Prince,Philodendron,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Erwinia,Table top; Secondary,28,82.4,18,64.4,Philodendron,toksyczna (szczawiany wapnia),toksyczna
147,Homalomena,Araceae,Emerald Gem,Foliage plant,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,,Table top; Tertiary,28,82.4,10,50.0,Homalomena,toksyczna,toksyczna
148,Peperomia clusiifolia,Piperaceae,Tricolor Peperomia,Other,Cultivar,Tropical,Bright light,/,Keep moist between watering. Water when soil is half dry.,Mealy bug,,Table top; Ground cover; Tertiary,32,89.6,10,50.0,Peperomia clusiifolia,nietoksyczna,nietoksyczna
149,Pandorea jasminoides,Bignoniaceae,Bower plant; Bower of beauty,Flower,Australia,Subtropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Mealy bug,,Potted plant; Secondary,28,82.4,8,46.4,Pandorea jasminoides,lekko toksyczna,może powodować nudności po spożyciu
150,Neoregelia carolinae var.,Bromeliaceae,,Bromeliad,Cultivar,Tropical,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,,,Table top; Colors / Forms,30,20.0,12,53.6,Neoregelia carolinae var.,nietoksyczna,nietoksyczna
151,Radermachera sinica,Bignoniaceae,China doll,Other,China,Subtropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Mealy bug,,Table top; Tertiary,28,82.4,8,46.4,Radermachera sinica,nietoksyczna,nietoksyczna
152,Pteris cretica Parkeri,Pteridaceae,Cretan brake,Fern,Cultivar,Tropical humid,Bright light,/,Keep moist between watering. Must not be dry between watering,,,Table top; Tertiary,28,82.4,12,53.6,Pteris cretica Parkeri,nietoksyczna,nietoksyczna
153,Polystichum tsus simense,Dryopteridaceae,Korean rock fern; Tsu sima holly fern,Fern,Korea,Subtropical,Bright light,/,Keep moist between watering. Must not be dry between watering,,,Table top; Tertiary,28,82.4,-5,23.0,Polystichum tsus simense,nietoksyczna,nietoksyczna
154,Polystichum polyblepharum,Dryopteridaceae,Japanese tassel fern,Fern,Japan,Subtropical,Bright light,/,Keep moist between watering. Must not be dry between watering,,,Table top; Tertiary,28,82.4,-5,23.0,Polystichum polyblepharum,nietoksyczna,nietoksyczna
155,Ravenea rivularis,Arecaceae,Majesty palm,Palm,Madagascar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Spider mite; Mealy bug,,Potted plant; Secondary,30,20.0,8,46.4,Ravenea rivularis,nietoksyczna,nietoksyczna
156,Polyscias scutellaria,Araliaceae,Fabian Aralia; Red Aralia,Aralia,Asia,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,,Potted plant; Primary,30,20.0,12,53.6,Polyscias scutellaria,toksyczna,toksyczna
157,Pteris cretica Albo lineata,Pteridaceae,Silver Ribbon Fern,Fern,Cultivar,Tropical humid,Bright light,/,Keep moist between watering. Must not be dry between watering,,,Table top; Tertiary,28,82.4,12,53.6,Pteris cretica Albo lineata,nietoksyczna,nietoksyczna
158,Platycerium bifurcatum,Polypodiaceae,Staghorn fern,Fern,Australia,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,,,Potted plant; Tertiary,30,20.0,5,41.0,Platycerium bifurcatum,nietoksyczna,nietoksyczna
159,Philodendron Xanadu,Araceae,,Philodendron,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Erwinia,Potted plant; Secondary,28,82.4,18,64.4,Philodendron Xanadu,toksyczna,toksyczna
160,Polyscias pinnatta,Araliaceae,Balfour aralia; Aralia Balfouriana; Lemon Lime,Aralia,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,,Potted plant; Primary,30,20.0,12,53.6,Polyscias pinnatta,toksyczna,toksyczna
161,Philodendron Tatei Congo,Araceae,,Philodendron,Cultivar,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Erwinia,Table top; Secondary,28,82.4,18,64.4,Philodendron Tatei Congo,toksyczna,toksyczna
162,Sansevieria trifasciata Laurentii,Liliaceae,Snake plant,Sansevieria,South Africa,Tropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,,,Potted plant; Tertiary,35,95.0,10,50.0,Sansevieria trifasciata Laurentii,"toksyczna (nudności, wymioty)","lekko toksyczna (gorzkawy smak, biegunka)"
163,Philodendron pinnatifidum,Araceae,Fernleaf Philodendron,Philodendron,Venezuela,Tropical,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Mealy bug,Erwinia,Table top; Tertiary,28,82.4,18,64.4,Philodendron pinnatifidum,toksyczna,toksyczna
164,Podocarpus gracilior,Podocarpaceae,African fern pine; Buddhist pine,Foliage plant,Central Africa,Subtropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Mealy bug; Scale,,Potted plant; Primary,30,20.0,10,50.0,Podocarpus gracilior,"toksyczna (senność, wymioty)","toksyczna (bóle brzucha, wymioty)"
165,Sansevieria trifasciata Hahnii,Liliaceae,Birdnest sansevieria; Snake plant,Sansevieria,Cultivar,Tropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,,,Table top; Tertiary,35,95.0,10,50.0,Sansevieria trifasciata Hahnii,toksyczna,lekko toksyczna
166,Sansevieria trifasciata,Liliaceae,Snake plant,Sansevieria,South Africa,Subtropical,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,,,Potted plant; Primary,35,95.0,10,50.0,Sansevieria trifasciata,toksyczna,lekko toksyczna
167,Polyscias crispata,Araliaceae,Chicken gizard aralia,Aralia,Malaysia,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,,Potted plant; Primary,30,20.0,12,53.6,Polyscias crispata,toksyczna,toksyczna
168,Phoenix roebellinii,Palmae,Pignee Date palm,Palm,Vietnam,Tropical,6 or more hours of direct sunlight per day.,/,Keep moist between watering. Must not be dry between watering,Spider mite; Scale,,Potted plant; Primary,28,82.4,8,46.4,Phoenix roebellinii,nietoksyczna,nietoksyczna
169,Polyscias pinnata Marginata,Araliaceae,Variegated Balfour aralia; Aralia Balfouriana,Aralia,Cultivar,Tropical,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Spider mite; Aphid; Mealy bug,,Potted plant; Primary,30,20.0,12,53.6,Polyscias pinnata Marginata,toksyczna,toksyczna
